"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.668564414309095	1	1	"Churn"	"Yes"	0.1
2	0.654896936353016	1	1	"Churn"	"Yes"	0.1
3	0.672451043197548	1	1	"Churn"	"Yes"	0.1
4	0.5	0	1	"Churn"	"Yes"	0.1
5	0.65309381237525	1	1	"Churn"	"Yes"	0.1
6	0.66276891272046	1	1	"Churn"	"Yes"	0.1
7	0.681439393939394	1	1	"Churn"	"Yes"	0.1
8	0.664229260935143	1	1	"Churn"	"Yes"	0.1
9	0.687479811357323	1	1	"Churn"	"Yes"	0.1
10	0.68198600855033	1	1	"Churn"	"Yes"	0.1
11	0.696962831282605	1	1	"Churn"	"Yes"	0.1
12	0.675441481140452	1	1	"Churn"	"Yes"	0.1
13	0.707332717569787	1	1	"Churn"	"Yes"	0.1
14	0.661407019704433	1	1	"Churn"	"Yes"	0.1
15	0.678517964071856	1	1	"Churn"	"Yes"	0.1
16	0.637118736383442	1	1	"Churn"	"Yes"	0.1
17	0.660651629072682	1	1	"Churn"	"Yes"	0.1
18	0.6927303465765	1	1	"Churn"	"Yes"	0.1
19	0.669767256177891	1	1	"Churn"	"Yes"	0.1
20	0.669533590072743	1	1	"Churn"	"Yes"	0.1
21	0.690245279146141	1	1	"Churn"	"Yes"	0.1
22	0.681511976047904	1	1	"Churn"	"Yes"	0.1
23	0.690170722023708	1	1	"Churn"	"Yes"	0.1
24	0.696306818181818	1	1	"Churn"	"Yes"	0.1
25	0.688712522045855	1	1	"Churn"	"Yes"	0.1
26	0.66931616553973	1	1	"Churn"	"Yes"	0.1
27	0.652941737048376	1	1	"Churn"	"Yes"	0.1
28	0.680773420479303	1	1	"Churn"	"Yes"	0.1
29	0.700206043956044	1	1	"Churn"	"Yes"	0.1
30	0.688914695945946	1	1	"Churn"	"Yes"	0.1
1	0.652782500971628	2	2	"Churn"	"Yes"	0.1
2	0.693843647372742	2	2	"Churn"	"Yes"	0.1
3	0.692779356060606	2	2	"Churn"	"Yes"	0.1
4	0.715825123152709	2	2	"Churn"	"Yes"	0.1
5	0.676710218751267	2	2	"Churn"	"Yes"	0.1
6	0.681589931697445	2	2	"Churn"	"Yes"	0.1
7	0.68101540944349	2	2	"Churn"	"Yes"	0.1
8	0.66497720568517	2	2	"Churn"	"Yes"	0.1
9	0.664661654135338	2	2	"Churn"	"Yes"	0.1
10	0.693956378563695	2	2	"Churn"	"Yes"	0.1
11	0.696115185197365	2	2	"Churn"	"Yes"	0.1
12	0.66948514309188	2	2	"Churn"	"Yes"	0.1
13	0.668317168623447	2	2	"Churn"	"Yes"	0.1
14	0.66565001684734	2	2	"Churn"	"Yes"	0.1
15	0.696024048550848	2	2	"Churn"	"Yes"	0.1
16	0.685410334346505	2	2	"Churn"	"Yes"	0.1
17	0.687814702920443	2	2	"Churn"	"Yes"	0.1
18	0.661902947154472	2	2	"Churn"	"Yes"	0.1
19	0.68739231034313	2	2	"Churn"	"Yes"	0.1
20	0.687052790346908	2	2	"Churn"	"Yes"	0.1
21	0.623456868201366	2	2	"Churn"	"Yes"	0.1
