"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.730814841983006	1	1	"Churn"	"No"	0
2	0.660458521870287	1	1	"Churn"	"No"	0
3	0.699333645078326	1	1	"Churn"	"No"	0
4	0.680266331905676	1	1	"Churn"	"No"	0
5	0.682117338577516	1	1	"Churn"	"No"	0
6	0.677400108025273	1	1	"Churn"	"No"	0
7	0.683269334908679	1	1	"Churn"	"No"	0
8	0.724746407438715	1	1	"Churn"	"No"	0
9	0.690511411665258	1	1	"Churn"	"No"	0
10	0.700614568748684	1	1	"Churn"	"No"	0
11	0.722410568155249	1	1	"Churn"	"No"	0
12	0.698868052856588	1	1	"Churn"	"No"	0
13	0.700855798031665	1	1	"Churn"	"No"	0
14	0.695711420224131	1	1	"Churn"	"No"	0
15	0.72409562357703	1	1	"Churn"	"No"	0
16	0.67809381237525	1	1	"Churn"	"No"	0
17	0.686449284312515	1	1	"Churn"	"No"	0
18	0.69008781495724	1	1	"Churn"	"No"	0
19	0.702313314046034	1	1	"Churn"	"No"	0
20	0.685960030356691	1	1	"Churn"	"No"	0
21	0.715839800443459	1	1	"Churn"	"No"	0
22	0.698421796782453	1	1	"Churn"	"No"	0
23	0.65854262951169	1	1	"Churn"	"No"	0
24	0.678809619468519	1	1	"Churn"	"No"	0
25	0.685452470856713	1	1	"Churn"	"No"	0
26	0.725318144499179	1	1	"Churn"	"No"	0
27	0.698219045998525	1	1	"Churn"	"No"	0
28	0.714467849920237	1	1	"Churn"	"No"	0
29	0.71559381237525	1	1	"Churn"	"No"	0
30	0.715756815171164	1	1	"Churn"	"No"	0
1	0.698084677419355	2	2	"Churn"	"No"	0
2	0.699047579837238	2	2	"Churn"	"No"	0
3	0.669551928601993	2	2	"Churn"	"No"	0
4	0.717163829454943	2	2	"Churn"	"No"	0
5	0.701265069944367	2	2	"Churn"	"No"	0
6	0.683952152289487	2	2	"Churn"	"No"	0
7	0.685299912027457	2	2	"Churn"	"No"	0
8	0.708305218173639	2	2	"Churn"	"No"	0
9	0.702944111776447	2	2	"Churn"	"No"	0
10	0.699864823616622	2	2	"Churn"	"No"	0
11	0.674756405629737	2	2	"Churn"	"No"	0
12	0.709496418110597	2	2	"Churn"	"No"	0
13	0.685824581594974	2	2	"Churn"	"No"	0
14	0.708730345571016	2	2	"Churn"	"No"	0
15	0.694914190515313	2	2	"Churn"	"No"	0
16	0.705781710914454	2	2	"Churn"	"No"	0
17	0.69946770248885	2	2	"Churn"	"No"	0
18	0.686475089801656	2	2	"Churn"	"No"	0
19	0.68030967775041	2	2	"Churn"	"No"	0
20	0.68586752714429	2	2	"Churn"	"No"	0
21	0.712820512820513	2	2	"Churn"	"No"	0
22	0.658561390532544	2	2	"Churn"	"No"	0
23	0.675544296864302	2	2	"Churn"	"No"	0
24	0.682648401826484	2	2	"Churn"	"No"	0
25	0.691356910862505	2	2	"Churn"	"No"	0
26	0.703841575981345	2	2	"Churn"	"No"	0
27	0.690808823529412	2	2	"Churn"	"No"	0
28	0.675591856060606	2	2	"Churn"	"No"	0
29	0.663271282158544	2	2	"Churn"	"No"	0
30	0.671858573562773	2	2	"Churn"	"No"	0
1	0.883144178226145	3	3	"Churn"	"No"	0
2	0.869353693181818	3	3	"Churn"	"No"	0
3	0.88167065138939	3	3	"Churn"	"No"	0
4	0.660078775837429	3	3	"Churn"	"No"	0
5	0.901646276817516	3	3	"Churn"	"No"	0
6	0.672257525083612	3	3	"Churn"	"No"	0
7	0.725050430955437	3	3	"Churn"	"No"	0
8	0.900095752586749	3	3	"Churn"	"No"	0
9	0.698540689281848	3	3	"Churn"	"No"	0
10	0.724114758010828	3	3	"Churn"	"No"	0
11	0.703050734391938	2	3	"Churn"	"No"	0
12	0.895491248646698	3	3	"Churn"	"No"	0
13	0.883362077341625	3	3	"Churn"	"No"	0
14	0.864464598698992	3	3	"Churn"	"No"	0
15	0.71044230288158	3	3	"Churn"	"No"	0
16	0.876056645938593	3	3	"Churn"	"No"	0
17	0.866716566866267	3	3	"Churn"	"No"	0
18	0.702256631180079	3	3	"Churn"	"No"	0
19	0.728129769113376	3	3	"Churn"	"No"	0
