"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.754132231404959	1	1	"House"	"Yes"	0
2	0.743801652892562	1	1	"House"	"Yes"	0
3	0.74828060522696	1	1	"House"	"Yes"	0
4	0.759972489683631	1	1	"House"	"Yes"	0
5	0.74484181568088	1	1	"House"	"Yes"	0
6	NA	1	1	"House"	"Yes"	0
7	0.760330578512397	1	1	"House"	"Yes"	0
8	0.740384615384615	1	1	"House"	"Yes"	0
9	0.745879120879121	1	1	"House"	"Yes"	0
10	0.745541838134431	1	1	"House"	"Yes"	0
11	NA	1	1	"House"	"Yes"	0
12	NA	1	1	"House"	"Yes"	0
13	0.753094910591472	1	1	"House"	"Yes"	0
14	0.74931129476584	1	1	"House"	"Yes"	0
15	0.744154057771664	1	1	"House"	"Yes"	0
1	0.85213204951857	2	2	"House"	"Yes"	0
2	0.872589531680441	2	2	"House"	"Yes"	0
3	0.857634112792297	2	2	"House"	"Yes"	0
4	0.839972527472527	2	2	"House"	"Yes"	0
5	0.857142857142857	2	2	"House"	"Yes"	0
6	0.865384615384615	2	2	"House"	"Yes"	0
7	0.852537722908093	2	2	"House"	"Yes"	0
8	0.857931034482759	2	2	"House"	"Yes"	0
9	0.859009628610729	2	2	"House"	"Yes"	0
10	0.88	2	2	"House"	"Yes"	0
11	0.715038972948189	2	2	"House"	"Yes"	0
12	0.866391184573003	2	2	"House"	"Yes"	0
13	0.869505494505495	2	2	"House"	"Yes"	0
14	0.855862068965517	2	2	"House"	"Yes"	0
15	0.868312757201646	2	2	"House"	"Yes"	0
1	0.87396694214876	3	3	"House"	"Yes"	0
2	0.8559670781893	3	3	"House"	"Yes"	0
3	0.940934065934066	3	3	"House"	"Yes"	0
4	0.854195323246217	3	3	"House"	"Yes"	0
5	0.880165289256198	3	3	"House"	"Yes"	0
6	0.620192307692308	3	3	"House"	"Yes"	0
7	0.866941015089163	3	3	"House"	"Yes"	0
8	0.89010989010989	3	3	"House"	"Yes"	0
9	0.891483516483517	3	3	"House"	"Yes"	0
10	0.953983516483517	3	3	"House"	"Yes"	0
11	0.392318244170096	3	3	"House"	"Yes"	0
12	0.865199449793673	3	3	"House"	"Yes"	0
13	NA	3	3	"House"	"Yes"	0
14	0.81636863823934	3	3	"House"	"Yes"	0
15	0.693030719853278	3	3	"House"	"Yes"	0
1	0.362825788751715	4	4	"House"	"Yes"	0
2	0.900548696844993	4	4	"House"	"Yes"	0
3	0.942994505494505	4	4	"House"	"Yes"	0
4	NA	4	4	"House"	"Yes"	0
5	0.891483516483517	4	4	"House"	"Yes"	0
6	0.875515818431912	4	4	"House"	"Yes"	0
7	0.750114626318203	4	4	"House"	"Yes"	0
